loss,grad_norm,learning_rate,rewards/chosen,rewards/rejected,rewards/accuracies,rewards/margins,logps/chosen,logps/rejected,logits/chosen,logits/rejected,epoch,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,eval_rewards/chosen,eval_rewards/rejected,eval_rewards/accuracies,eval_rewards/margins,eval_logps/chosen,eval_logps/rejected,eval_logits/chosen,eval_logits/rejected,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.6527,3044.11865234375,4.955223880597016e-06,-0.27440857887268066,-1.3006402254104614,0.6000000238418579,1.0262317657470703,-195.41122436523438,-197.708251953125,1976.307373046875,1976.0902099609375,0.04975124378109453,10,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.04975124378109453,10,1.1370970010757446,0.8018,285.614,36.169,-0.6394314169883728,-0.5351090431213379,0.5224137902259827,-0.10432236641645432,-221.50924682617188,-179.48492431640625,1975.8341064453125,1976.4241943359375,,,,,
0.6697,3865.931640625,4.905472636815921e-06,0.5292121171951294,-0.6213709115982056,0.699999988079071,1.1505829095840454,-195.6417236328125,-201.7354278564453,1975.584716796875,1975.7418212890625,0.09950248756218906,20,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.09950248756218906,20,1.0891724824905396,0.6255,366.136,46.367,-0.4471532106399536,-0.504803478717804,0.5051723718643188,0.05765027925372124,-219.58642578125,-179.18186950683594,1975.4091796875,1976.04736328125,,,,,
1.1563,8209.1162109375,4.8557213930348265e-06,-0.31340456008911133,-0.06480836868286133,0.3499999940395355,-0.24859619140625,-184.7365264892578,-167.57794189453125,1975.536376953125,1975.5765380859375,0.14925373134328357,30,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.14925373134328357,30,0.8678792715072632,0.6336,361.423,45.77,-0.14188355207443237,-0.5552230477333069,0.6224137544631958,0.4133394956588745,-216.53375244140625,-179.68606567382812,1975.2054443359375,1975.813720703125,,,,,
1.0845,7977.623046875,4.805970149253732e-06,-0.46785464882850647,-0.64643794298172,0.699999988079071,0.17858339846134186,-170.1397247314453,-207.87576293945312,1974.8232421875,1975.821533203125,0.19900497512437812,40,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.19900497512437812,40,0.9974666833877563,0.6431,356.115,45.098,-0.23204682767391205,-0.36767369508743286,0.5439655184745789,0.135626882314682,-217.43539428710938,-177.81057739257812,1975.03857421875,1975.63623046875,,,,,
0.8476,12052.748046875,4.756218905472637e-06,0.16205137968063354,-0.4526781141757965,0.6000000238418579,0.614729642868042,-177.1968994140625,-227.85409545898438,1975.748046875,1975.2086181640625,0.24875621890547264,50,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.24875621890547264,50,1.084670066833496,0.7236,316.465,40.076,-0.38825523853302,-0.43108293414115906,0.5612068772315979,0.04282773286104202,-218.99746704101562,-178.44467163085938,1975.1160888671875,1975.6888427734375,,,,,
0.9914,8053.71533203125,4.706467661691543e-06,-0.8349944949150085,-0.7461614608764648,0.4000000059604645,-0.08883301913738251,-194.7422332763672,-175.69325256347656,1974.7593994140625,1975.337158203125,0.29850746268656714,60,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.29850746268656714,60,1.2894535064697266,0.7157,319.945,40.517,-0.9142311811447144,-0.6186223030090332,0.4603448510169983,-0.29560890793800354,-224.25721740722656,-180.32005310058594,1975.294677734375,1975.89599609375,,,,,
1.3939,7640.98583984375,4.656716417910448e-06,-1.0798791646957397,-0.4917828440666199,0.4000000059604645,-0.5880963206291199,-186.01235961914062,-193.1813201904297,1976.03125,1975.0625,0.3482587064676617,70,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.3482587064676617,70,1.2281259298324585,0.7326,312.595,39.586,-0.9070262908935547,-0.6125830411911011,0.4663792848587036,-0.2944433391094208,-224.1851806640625,-180.25965881347656,1975.4189453125,1976.0133056640625,,,,,
0.8498,7622.755859375,4.606965174129354e-06,-0.3823205530643463,-0.8517462015151978,0.550000011920929,0.46942567825317383,-202.1605224609375,-191.3838653564453,1975.0845947265625,1975.0322265625,0.39800995024875624,80,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.39800995024875624,80,1.2736259698867798,0.632,362.325,45.884,-0.8812231421470642,-0.549826443195343,0.4517241418361664,-0.3313966393470764,-223.92713928222656,-179.63211059570312,1975.5355224609375,1976.1387939453125,,,,,
1.4878,10520.1689453125,4.557213930348259e-06,-0.9411298036575317,-0.16104553639888763,0.30000001192092896,-0.7800842523574829,-205.40673828125,-188.968994140625,1975.7005615234375,1975.6812744140625,0.44776119402985076,90,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.44776119402985076,90,1.316623330116272,0.6407,357.398,45.26,-0.7103819251060486,-0.3284262716770172,0.4724137783050537,-0.3819555938243866,-222.21873474121094,-177.41810607910156,1975.5341796875,1976.15185546875,,,,,
1.2179,6670.96044921875,4.507462686567165e-06,-0.6176610589027405,-0.46269407868385315,0.44999998807907104,-0.1549670398235321,-198.0930633544922,-210.72158813476562,1975.930419921875,1975.5650634765625,0.4975124378109453,100,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.4975124378109453,100,1.3009743690490723,0.7249,315.884,40.003,-0.7941024899482727,-0.44564443826675415,0.4517241418361664,-0.3484579920768738,-223.05593872070312,-178.59030151367188,1975.519775390625,1976.1119384765625,,,,,
1.2579,6061.55419921875,4.45771144278607e-06,-0.8171184659004211,-0.5153504014015198,0.44999998807907104,-0.30176815390586853,-170.38064575195312,-161.8644256591797,1976.0621337890625,1976.2222900390625,0.5472636815920398,110,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.5472636815920398,110,1.2200005054473877,0.7172,319.283,40.433,-0.8349812030792236,-0.5916990041732788,0.4577586054801941,-0.24328218400478363,-223.4647216796875,-180.0508270263672,1975.4012451171875,1976.03662109375,,,,,
1.4841,5680.14208984375,4.407960199004976e-06,-1.389025330543518,-0.8362706899642944,0.44999998807907104,-0.5527545213699341,-198.52407836914062,-168.29055786132812,1975.7689208984375,1975.8597412109375,0.5970149253731343,120,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.5970149253731343,120,1.226692795753479,0.7102,322.422,40.831,-0.9058557748794556,-0.6625217795372009,0.4793103337287903,-0.24333401024341583,-224.17349243164062,-180.75906372070312,1975.2574462890625,1975.8692626953125,,,,,
1.2244,10255.6796875,4.358208955223881e-06,-1.0883759260177612,-0.8934467434883118,0.44999998807907104,-0.19492915272712708,-220.1060028076172,-198.26071166992188,1975.505126953125,1975.5784912109375,0.6467661691542289,130,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.6467661691542289,130,1.1277258396148682,0.7279,314.606,39.841,-0.7158811092376709,-0.6835790872573853,0.5241379141807556,-0.03230203315615654,-222.27371215820312,-180.96961975097656,1975.33447265625,1975.9580078125,,,,,
0.6108,1435.74365234375,4.308457711442786e-06,-0.11043212562799454,-1.1514208316802979,0.75,1.040988802909851,-195.0928192138672,-203.97073364257812,1975.566650390625,1975.946533203125,0.6965174129353234,140,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.6965174129353234,140,1.166847586631775,0.6256,366.026,46.353,-0.8047924637794495,-0.6546950936317444,0.490517258644104,-0.15009738504886627,-223.16285705566406,-180.68080139160156,1975.4571533203125,1976.0506591796875,,,,,
1.4696,9288.9072265625,4.258706467661692e-06,-0.987072765827179,-0.22469910979270935,0.30000001192092896,-0.7623737454414368,-199.9652862548828,-183.7110595703125,1975.9681396484375,1974.7001953125,0.746268656716418,150,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.746268656716418,150,1.148190975189209,0.6321,362.269,45.877,-0.7740248441696167,-0.756618082523346,0.49827584624290466,-0.017406675964593887,-222.8551483154297,-181.7000274658203,1975.68896484375,1976.331298828125,,,,,
0.8889,2845.030029296875,4.208955223880597e-06,-0.3543688952922821,-0.74322509765625,0.550000011920929,0.3888562321662903,-203.5781707763672,-206.9319305419922,1976.499267578125,1975.156982421875,0.7960199004975125,160,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.7960199004975125,160,1.174674391746521,0.7231,316.707,40.107,-0.8319975137710571,-0.7238630652427673,0.5137931108474731,-0.10813428461551666,-223.4348907470703,-181.37246704101562,1975.7237548828125,1976.3427734375,,,,,
