eps,objective/kl,objective/entropy,objective/non_score_reward,objective/rlhf_reward,objective/scores,policy/approxkl_avg,policy/clipfrac_avg,loss/policy_avg,loss/value_avg,val/clipfrac_avg,policy/entropy_avg,val/ratio,val/ratio_var,val/num_eos_tokens,lr,episode,epoch,step
11,8.488388061523438,78.18960571289062,-0.8488388061523438,-18.117124557495117,-17.268285751342773,5.665301322937012,0.3349056541919708,0.6396600008010864,34.704837799072266,0.6394457817077637,2.5995590686798096,1.2488539218902588,0.1951526403427124,0,4.8207171314741045e-06,160,0.19975031210986266,10
11,16.778350830078125,70.26179504394531,-1.6778351068496704,-18.801401138305664,-17.123565673828125,5.772958755493164,0.40625,0.30509358644485474,8.85525131225586,0.4955778121948242,2.3635811805725098,0.9865274429321289,0.0360192209482193,0,4.621513944223108e-06,320,0.3995006242197253,20
11,22.624099731445312,37.00578308105469,-2.2624099254608154,-19.5032958984375,-17.240886688232422,3.8281984329223633,0.33461084961891174,0.2483111321926117,6.71884822845459,0.44398587942123413,1.7959352731704712,0.7498667240142822,0.002356646815314889,0,4.422310756972112e-06,480,0.599250936329588,30
11,29.896224975585938,40.97093200683594,-2.9896225929260254,-18.71819496154785,-15.728572845458984,4.239830017089844,0.29363206028938293,0.22636279463768005,4.946096897125244,0.44693395495414734,1.7506905794143677,0.8652929067611694,0.024080755189061165,0,4.223107569721116e-06,640,0.7990012484394506,40
11,40.45184326171875,35.083465576171875,-4.045184135437012,-20.50333023071289,-16.458145141601562,3.021446704864502,0.2995283007621765,0.1256083846092224,4.3562164306640625,0.35465800762176514,1.4623069763183594,0.9382781982421875,0.009676698595285416,0,4.02390438247012e-06,800,0.9987515605493134,50
11,41.37107849121094,26.04345703125,-4.137107849121094,-20.675561904907227,-16.538454055786133,3.5741984844207764,0.2880306541919708,0.24037863314151764,3.039642333984375,0.3679245114326477,1.4743826389312744,0.6898142099380493,0.0007596357609145343,0,3.824701195219123e-06,960,1.198501872659176,60
11,32.47450256347656,15.539718627929688,-3.247450351715088,-19.40860939025879,-16.16115951538086,2.021423816680908,0.20194575190544128,0.17598383128643036,2.09179949760437,0.41981130838394165,0.9276278018951416,0.7763313055038452,0.0033325415570288897,0,3.625498007968128e-06,1120,1.3982521847690388,70
11,27.618301391601562,10.076309204101562,-2.7618300914764404,-16.901386260986328,-14.139556884765625,1.400106430053711,0.19663915038108826,0.350146621465683,1.7629746198654175,0.34463444352149963,0.6351175308227539,0.832249641418457,0.001249566674232483,0,3.4262948207171315e-06,1280,1.5980024968789013,80
11,26.320449829101562,7.4095916748046875,-2.632045030593872,-16.941232681274414,-14.309187889099121,1.0551021099090576,0.17069575190544128,0.06540733575820923,1.4657206535339355,0.3266509473323822,0.5082865953445435,0.8232967257499695,0.00022192711185198277,0,3.227091633466136e-06,1440,1.797752808988764,90
11,28.953994750976562,10.095230102539062,-2.895399570465088,-17.451683044433594,-14.556283950805664,1.021703839302063,0.15978774428367615,0.10802274942398071,1.456035852432251,0.35465800762176514,0.4997047781944275,0.9099715948104858,0.0005613495013676584,0,3.0278884462151397e-06,1600,1.9975031210986267,100
11,28.635604858398438,5.5782318115234375,-2.863560676574707,-17.081815719604492,-14.218255043029785,0.6972334384918213,0.13531839847564697,0.09509599208831787,0.9403283596038818,0.2258254587650299,0.4220605492591858,0.8452838659286499,3.41956147167366e-05,0,2.828685258964144e-06,1760,2.1972534332084894,110
11,24.847137451171875,3.24017333984375,-2.4847137928009033,-16.025985717773438,-13.541271209716797,0.4897136986255646,0.13089622557163239,0.039558425545692444,0.5506167411804199,0.29746460914611816,0.406424880027771,0.8478153944015503,9.17589059099555e-05,0,2.6294820717131474e-06,1920,2.397003745318352,120
11,24.779983520507812,1.313507080078125,-2.4779982566833496,-16.033283233642578,-13.555285453796387,0.3151070773601532,0.10819575190544128,0.03769297897815704,0.5663986206054688,0.23319575190544128,0.2840540111064911,0.8702939748764038,0.00015385555161628872,0,2.4302788844621517e-06,2080,2.596754057428215,130
11,22.623321533203125,1.7692413330078125,-2.2623322010040283,-15.580738067626953,-13.318406105041504,0.3521382212638855,0.09964622557163239,0.04074154794216156,0.5621870756149292,0.22847877442836761,0.2873116135597229,0.8764870166778564,8.001345850061625e-05,0,2.2310756972111555e-06,2240,2.7965043695380776,140
11,25.06036376953125,1.3070526123046875,-2.5060362815856934,-15.230146408081055,-12.724109649658203,0.33918067812919617,0.12116745114326477,0.00834047980606556,0.6103145480155945,0.34551888704299927,0.29024261236190796,1.0609183311462402,0.0197634007781744,0,2.03187250996016e-06,2400,2.9962546816479403,150
11,24.199951171875,3.3795928955078125,-2.419995069503784,-15.75833797454834,-13.338342666625977,0.4747152328491211,0.12087263911962509,0.01182057335972786,0.6415101289749146,0.3054245114326477,0.3039547801017761,1.2512257099151611,0.5586661100387573,0,1.8326693227091634e-06,2560,3.1960049937578026,160
11,24.499923706054688,0.82330322265625,-2.4499921798706055,-15.295701026916504,-12.845708847045898,0.21628090739250183,0.11114387214183807,-0.0034807673655450344,0.6831648349761963,0.3054245114326477,0.23248112201690674,0.9086509943008423,1.251092180609703e-05,0,1.6334661354581673e-06,2720,3.3957553058676653,170
11,24.138809204101562,-2.439483642578125,-2.4138808250427246,-16.246156692504883,-13.832275390625,0.39750754833221436,0.11729559302330017,-0.013323703780770302,0.5059741735458374,0.2930276393890381,0.2799931764602661,0.8981537818908691,8.709812391316518e-05,1,1.4342629482071716e-06,2880,3.595505617977528,180
11,26.650299072265625,3.3254852294921875,-2.665030002593994,-16.26375389099121,-13.598724365234375,0.40477293729782104,0.11704009771347046,0.05710587278008461,0.5136143565177917,0.2741745114326477,0.27891913056373596,0.928712010383606,0.0017183175077661872,0,1.2350597609561754e-06,3040,3.7952559300873907,190
11,24.326263427734375,0.9912567138671875,-2.432626247406006,-15.706184387207031,-13.273557662963867,0.19212916493415833,0.09905660152435303,0.01175068411976099,0.4027199447154999,0.3626179099082947,0.2078896313905716,0.9176828861236572,0.00010922751243924722,0,1.0358565737051795e-06,3200,3.9950062421972534,200
11,25.933975219726562,1.2588348388671875,-2.593397617340088,-15.336044311523438,-12.742647171020508,0.21184945106506348,0.08844339847564697,0.022119246423244476,0.5125150680541992,0.34050706028938293,0.21158571541309357,0.9190346598625183,1.9279937987448648e-05,0,8.366533864541833e-07,3360,4.194756554307116,210
11,24.339797973632812,2.5250244140625,-2.4339799880981445,-15.358233451843262,-12.924253463745117,0.30015185475349426,0.07281839847564697,0.08079099655151367,0.4789165258407593,0.25766509771347046,0.21327605843544006,0.972564697265625,0.00021360651589930058,0,6.374501992031873e-07,3520,4.394506866416979,220
11,23.595672607421875,-2.42950439453125,-2.359567165374756,-15.79159164428711,-13.432024002075195,0.2272474616765976,0.0682389885187149,0.026885204017162323,0.4584921896457672,0.2955402135848999,0.20574851334095,0.9206418991088867,2.237630724266637e-05,1,4.382470119521913e-07,3680,4.594257178526841,230
11,24.14263916015625,0.338287353515625,-2.414263963699341,-15.73476505279541,-13.320501327514648,0.16917788982391357,0.08962264657020569,0.00975058414041996,0.35112667083740234,0.21285375952720642,0.19747067987918854,0.909208357334137,2.673484596016351e-05,0,2.390438247011952e-07,3840,4.794007490636704,240
11,25.274566650390625,2.28009033203125,-2.527456760406494,-15.99781608581543,-13.470359802246094,0.26509934663772583,0.06898584961891174,0.026607941836118698,0.353304386138916,0.28920990228652954,0.19194793701171875,0.9353986978530884,7.940811337903142e-05,0,3.984063745019921e-08,4000,4.9937578027465666,250
