loss,grad_norm,learning_rate,rewards/chosen,rewards/rejected,rewards/accuracies,rewards/margins,logps/chosen,logps/rejected,logits/chosen,logits/rejected,epoch,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,eval_rewards/chosen,eval_rewards/rejected,eval_rewards/accuracies,eval_rewards/margins,eval_logps/chosen,eval_logps/rejected,eval_logits/chosen,eval_logits/rejected,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1.6865,15829.708984375,4.955223880597016e-06,-1.7312633991241455,-0.9137152433395386,0.44999998807907104,-0.8175481557846069,-245.84664916992188,-209.8759002685547,1975.546142578125,1976.014404296875,0.04975124378109453,10,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.04975124378109453,10,0.966366708278656,0.7854,291.578,36.925,-0.19209884107112885,-0.4439737796783447,0.5862069129943848,0.2518749535083771,-217.03590393066406,-178.57357788085938,1975.403564453125,1976.0118408203125,,,,,
0.9007,1794.5706787109375,4.905472636815921e-06,0.45382022857666016,-0.055885620415210724,0.6000000238418579,0.5097058415412903,-183.0045166015625,-157.31338500976562,1973.927734375,1975.694580078125,0.09950248756218906,20,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.09950248756218906,20,0.7876737713813782,0.7815,293.021,37.107,0.08732624351978302,-0.5605814456939697,0.6724137663841248,0.6479077339172363,-214.2416534423828,-179.73965454101562,1975.0081787109375,1975.6756591796875,,,,,
0.7755,5295.4716796875,4.8557213930348265e-06,-0.15210023522377014,-0.5507452487945557,0.550000011920929,0.3986450135707855,-179.1365509033203,-176.9374542236328,1974.4322509765625,1975.201171875,0.14925373134328357,30,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.14925373134328357,30,0.8450689315795898,0.785,291.722,36.943,0.03309302777051926,-0.48897379636764526,0.6120689511299133,0.5220668315887451,-214.78396606445312,-179.02359008789062,1974.690673828125,1975.418212890625,,,,,
1.0155,7241.39697265625,4.805970149253732e-06,-0.11188721656799316,-0.2732934355735779,0.550000011920929,0.1614062488079071,-168.77865600585938,-151.83792114257812,1974.717041015625,1975.684814453125,0.19900497512437812,40,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.19900497512437812,40,0.8632670640945435,0.738,310.308,39.297,-0.06825457513332367,-0.6686460375785828,0.6310344338417053,0.6003915071487427,-215.7974853515625,-180.8203125,1974.551513671875,1975.28515625,,,,,
0.9989,5151.57080078125,4.756218905472637e-06,-0.5081628561019897,-0.7266040444374084,0.5,0.2184411734342575,-217.60693359375,-188.9895477294922,1974.0804443359375,1975.0943603515625,0.24875621890547264,50,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.24875621890547264,50,0.7438399791717529,0.8535,268.314,33.979,0.20654335618019104,-0.6441549062728882,0.6568965315818787,0.8506982922554016,-213.04946899414062,-180.5753936767578,1974.368896484375,1975.1173095703125,,,,,
1.0203,13918.1796875,4.706467661691543e-06,-0.09016783535480499,-0.7040857076644897,0.6000000238418579,0.6139179468154907,-236.49429321289062,-163.8085174560547,1973.9755859375,1974.3480224609375,0.29850746268656714,60,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.29850746268656714,60,0.7501756548881531,0.7986,286.742,36.312,0.3101624548435211,-0.6592040657997131,0.6741378903388977,0.9693666100502014,-212.0133056640625,-180.7259063720703,1974.1927490234375,1974.996826171875,,,,,
0.9871,1023.7011108398438,4.656716417910448e-06,-0.31690675020217896,-0.7584497332572937,0.550000011920929,0.44154295325279236,-212.27505493164062,-167.18905639648438,1974.821044921875,1974.5823974609375,0.3482587064676617,70,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.3482587064676617,70,0.8887422680854797,0.794,288.404,36.523,-0.19923752546310425,-0.8556590676307678,0.6120689511299133,0.6564216017723083,-217.10728454589844,-182.69044494628906,1974.0335693359375,1974.821044921875,,,,,
1.1846,8040.841796875,4.606965174129354e-06,-0.45376890897750854,-0.5522082448005676,0.550000011920929,0.09843931347131729,-221.667724609375,-214.51858520507812,1973.9033203125,1974.2122802734375,0.39800995024875624,80,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.39800995024875624,80,0.865831732749939,0.7792,293.908,37.22,-0.2188471406698227,-0.9579601883888245,0.6008620262145996,0.7391130924224854,-217.30340576171875,-183.7134246826172,1973.86474609375,1974.708251953125,,,,,
0.96,4824.61669921875,4.557213930348259e-06,0.08930601179599762,-0.7442859411239624,0.5,0.8335918188095093,-211.11474609375,-196.09669494628906,1973.6676025390625,1974.5267333984375,0.44776119402985076,90,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.44776119402985076,90,0.8352377414703369,0.872,262.606,33.256,-0.12005822360515594,-1.0581871271133423,0.598275899887085,0.9381289482116699,-216.31549072265625,-184.7156982421875,1973.7452392578125,1974.6143798828125,,,,,
0.7106,5515.1875,4.507462686567165e-06,0.2711273729801178,-1.1245702505111694,0.75,1.395697832107544,-218.77084350585938,-198.49180603027344,1973.768310546875,1974.486083984375,0.4975124378109453,100,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.4975124378109453,100,0.7099029421806335,0.8286,276.386,35.001,0.043719418346881866,-1.273093819618225,0.6827585697174072,1.3168132305145264,-214.67771911621094,-186.86476135253906,1973.6717529296875,1974.5556640625,,,,,
0.5438,6139.4560546875,4.45771144278607e-06,-0.022806990891695023,-1.213282585144043,0.6499999761581421,1.1904754638671875,-219.56369018554688,-183.51187133789062,1973.4808349609375,1974.360595703125,0.5472636815920398,110,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.5472636815920398,110,0.6999126672744751,0.7914,289.348,36.642,0.04981207847595215,-1.3573859930038452,0.7301723957061768,1.4071978330612183,-214.61680603027344,-187.70770263671875,1973.472412109375,1974.3740234375,,,,,
0.4951,12868.8994140625,4.407960199004976e-06,-0.3126324713230133,-1.3380768299102783,0.699999988079071,1.0254443883895874,-188.9011688232422,-191.35960388183594,1973.315185546875,1974.294677734375,0.5970149253731343,120,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.5970149253731343,120,0.6274038553237915,0.7971,287.298,36.383,0.09843085706233978,-1.4317303895950317,0.6896551847457886,1.5301610231399536,-214.13059997558594,-188.45114135742188,1973.2178955078125,1974.1578369140625,,,,,
